id,Endereco,Vagas
2,Av. Osvaldo Aranha  n° 564,16
3,Av. Osvaldo Aranha  n° 632,18
5,Av. Osvaldo Aranha  n° 908,14
6,Av. Osvaldo Aranha  n° 1004,12
9,Mercado Bom Fim,16
11,Rua José Bonifácio  DF ao n° 581,24
13,Rua Santa Terezinha  DF ao n° 35,20
14,Rua Santa Terezinha  n° 142,18
17,Rua Jacinto Gomes  n° 73,26
18,Trav. Miranda e Castro x Rua Augusto Pestana,30
24,Rua Bento Figueiredo  n° 71,34
25,Rua Felipe Camarão  n° 662,12
26,Rua Felipe Camarão  n° 542,12
30,Rua Fernandes Vieira  n° 550,12
31,Viaduto D. Pedro I,84
33,Rua Ribeiro Cancela  nº 60,20
34,Rua Costa  n° 159,30
38,Rua José de Alencar  n° 337,22
40,Av. Praia de Belas  n° 2174,12
41,Av. Praia de Belas  DF ao n° 2184,20
45,Rua Marcílio Dias  n° 1490,30
46,Rua Gen. Caldwell  n° 1321,24
47,Rua Barão do Triunfo  n° 712,12
50,Rua Prof. Freitas e Castro x Rua Dr. Ramiro D'Ávila,30
53,Rua 7 de Abril  n° 450,24
55,Av. Cristóvão Colombo  n° 1335,14
57,Av. Cristóvão Colombo  n° 1413,10
59,Rua Quintino Bocaiuca  n° 47,12
63,Rua Marquês do Pombal  DF ao 619,8
64,Av. Wenceslau Escobar  n° 2675,6
65,Rua Dr. Armando Barbedo  n°,30
67,Av. Wenceslau Escobar  n° 2970,8
68,Av. Wenceslau Escobar  n° 2951,10
70,Rua Dr. Mário Totta  n° 645,18
74,Praça Japão x Rua 14 de Julho,28
75,Praça Japão  DF ao n° 115,78
