id,Endereco,Vagas
1,Av. Osvaldo Aranha  n° 374,13
2,Av. Osvaldo Aranha  n° 564,16
3,Av. Osvaldo Aranha  n° 632,18
4,Av. Osvaldo Aranha  n° 806,17
5,Av. Osvaldo Aranha  n° 908,14
6,Av. Osvaldo Aranha  n° 1004,12
7,Av. Osvaldo Aranha  n° 1092,17
8,Av. Osvaldo Aranha  n° 1200,5
9,Mercado Bom Fim,16
10,Rua José Bonifácio  DF ao n° 519,29
11,Rua José Bonifácio  DF ao n° 581,24
12,Rua José Bonifácio  n° 675,23
13,Rua Santa Terezinha  DF ao n° 35,20
14,Rua Santa Terezinha  n° 142,18
15,Av. Venâncio Aires  n° 928,13
16,Av. Venâncio Aires x Rua Santa Terezinha,13
17,Rua Jacinto Gomes  n° 73,26
18,Trav. Miranda e Castro x Rua Augusto Pestana,30
19,Rua Ramiro Barcelos  n° 2231,17
20,Rua Ramiro Barcelos  n° 2147,23
21,Rua Ramiro Barcelos  n° 1925,17
22,Rua Francisco Ferrer  n° 461,35
23,Rua César Lombroso x Rua Ramiro Barcelos,25
24,Rua Bento Figueiredo  n° 71,34
25,Rua Felipe Camarão  n° 662,12
26,Rua Felipe Camarão  n° 542,12
27,Rua Felipe Camarão  n° 480,11
28,Rua Fernandes Vieira  n° 350,17
29,Rua Fernandes Vieira  n° 474,31
30,Rua Fernandes Vieira  n° 550,12
31,Viaduto D. Pedro I,84
32,Rua Ribeiro Cancela  DF ao nº 20,15
33,Rua Ribeiro Cancela  nº 60,20
34,Rua Costa  n° 159,30
35,Rua Grão Pará  n° 233,25
36,Rua Antenor Lemos  n° 56,27
37,Rua Antenor Lemos  n° 127,23
38,Rua José de Alencar  n° 337,22
39,Rua José de Alencar  n° 237,7
40,Av. Praia de Belas  n° 2174,12
41,Av. Praia de Belas  DF ao n° 2184,20
42,Av. Praia de Belas  n° 2300,11
43,Av. Padre Cacique  50,9
44,Rua Visconde do Herval  DF ao n° 1373,19
45,Rua Marcílio Dias  n° 1490,30
46,Rua Gen. Caldwell  n° 1321,24
47,Rua Barão do Triunfo  n° 712,12
48,Rua Barão do Triunfo x Rua 20 de Setembro,39
49,Rua Prof. Freitas e Castro  DF ao n° 551,19
50,Rua Prof. Freitas e Castro x Rua Dr. Ramiro D'Ávila,30
51,Rua Dr. Vale  n° 41,25
52,Rua Hoffmann  n° 609,27
53,Rua 7 de Abril  n° 450,24
54,Av. Cristóvão Colombo  n° 1360,9
55,Av. Cristóvão Colombo  n° 1335,14
56,Av. Cristóvão Colombo  DF ao n° 1413,13
57,Av. Cristóvão Colombo  n° 1413,10
58,Av. Cristóvão Colombo  n° 2211,11
59,Rua Quintino Bocaiuca  n° 47,12
60,Rua Cel. Bordini  DF ao n° 85,23
61,Rua Cel. Bordini  n° 104,19
62,Rua Cel. Bordini  n° 155,25
63,Rua Marquês do Pombal  DF ao 619,8
64,Av. Wenceslau Escobar  n° 2675,6
65,Rua Dr. Armando Barbedo  n°,30
66,Rua Almirante Delamare  n° 247,25
67,Av. Wenceslau Escobar  n° 2970,8
68,Av. Wenceslau Escobar  n° 2951,10
69,Av. Wenceslau Escobar  n° 3086,11
70,Rua Dr. Mário Totta  n° 645,18
71,Rua Dr. Mário Totta  n° 506,29
72,Rua Caju  n° 68,21
73,Av. Protásio Alves  n° 2760,29
74,Praça Japão x Rua 14 de Julho,28
75,Praça Japão  DF ao n° 115,78
76,Al. Major Francisco Barcelos  n° 76,27
77,Al. Coelho Neto  n° 65,27
